id,filename,alloy,pass,level
Cu_Mg_pass2_1,DataECAP/Cu_Mg/pass2/disangles1.txt,Cu_Mg,2,1
Cu_Mg_pass2_2,DataECAP/Cu_Mg/pass2/disangles2.txt,Cu_Mg,2,2
Cu_Mg_pass2_3,DataECAP/Cu_Mg/pass2/disangles3.txt,Cu_Mg,2,3
Cu_Mg_pass2_4,DataECAP/Cu_Mg/pass2/disangles4.txt,Cu_Mg,2,4
Cu_Mg_pass2_5,DataECAP/Cu_Mg/pass2/disangles5.txt,Cu_Mg,2,5
Cu_Mg_pass2_6,DataECAP/Cu_Mg/pass2/disangles6.txt,Cu_Mg,2,6
Cu_Mg_pass2_7,DataECAP/Cu_Mg/pass2/disangles7.txt,Cu_Mg,2,7
Cu_Mg_pass2_8,DataECAP/Cu_Mg/pass2/disangles8.txt,Cu_Mg,2,8
Cu_Mg_pass2_9,DataECAP/Cu_Mg/pass2/disangles9.txt,Cu_Mg,2,9
Cu_Mg_pass2_10,DataECAP/Cu_Mg/pass2/disangles10.txt,Cu_Mg,2,10
Cu_Mg_pass2_11,DataECAP/Cu_Mg/pass2/disangles11.txt,Cu_Mg,2,11
Cu_Mg_pass2_12,DataECAP/Cu_Mg/pass2/disangles12.txt,Cu_Mg,2,12
Cu_Mg_pass2_13,DataECAP/Cu_Mg/pass2/disangles13.txt,Cu_Mg,2,13
Cu_Mg_pass2_14,DataECAP/Cu_Mg/pass2/disangles14.txt,Cu_Mg,2,14
Cu_Mg_pass2_15,DataECAP/Cu_Mg/pass2/disangles15.txt,Cu_Mg,2,15
Cu_Mg_pass2_16,DataECAP/Cu_Mg/pass2/disangles16.txt,Cu_Mg,2,16
Cu_Mg_pass2_17,DataECAP/Cu_Mg/pass2/disangles17.txt,Cu_Mg,2,17
Cu_Mg_pass2_18,DataECAP/Cu_Mg/pass2/disangles18.txt,Cu_Mg,2,18
Cu_Mg_pass2_19,DataECAP/Cu_Mg/pass2/disangles19.txt,Cu_Mg,2,19
Cu_Mg_pass2_20,DataECAP/Cu_Mg/pass2/disangles20.txt,Cu_Mg,2,20
Cu_Mg_pass4_1,DataECAP/Cu_Mg/pass4/disangles1.txt,Cu_Mg,4,1
Cu_Mg_pass4_2,DataECAP/Cu_Mg/pass4/disangles2.txt,Cu_Mg,4,2
Cu_Mg_pass4_3,DataECAP/Cu_Mg/pass4/disangles3.txt,Cu_Mg,4,3
Cu_Mg_pass4_4,DataECAP/Cu_Mg/pass4/disangles4.txt,Cu_Mg,4,4
Cu_Mg_pass4_5,DataECAP/Cu_Mg/pass4/disangles5.txt,Cu_Mg,4,5
Cu_Mg_pass4_6,DataECAP/Cu_Mg/pass4/disangles6.txt,Cu_Mg,4,6
Cu_Mg_pass4_7,DataECAP/Cu_Mg/pass4/disangles7.txt,Cu_Mg,4,7
Cu_Mg_pass4_8,DataECAP/Cu_Mg/pass4/disangles8.txt,Cu_Mg,4,8
Cu_Mg_pass4_9,DataECAP/Cu_Mg/pass4/disangles9.txt,Cu_Mg,4,9
Cu_Mg_pass4_10,DataECAP/Cu_Mg/pass4/disangles10.txt,Cu_Mg,4,10
Cu_Mg_pass4_11,DataECAP/Cu_Mg/pass4/disangles11.txt,Cu_Mg,4,11
Cu_Mg_pass4_12,DataECAP/Cu_Mg/pass4/disangles12.txt,Cu_Mg,4,12
Cu_Mg_pass4_13,DataECAP/Cu_Mg/pass4/disangles13.txt,Cu_Mg,4,13
Cu_Mg_pass4_14,DataECAP/Cu_Mg/pass4/disangles14.txt,Cu_Mg,4,14
Cu_Mg_pass4_15,DataECAP/Cu_Mg/pass4/disangles15.txt,Cu_Mg,4,15
Cu_Mg_pass4_16,DataECAP/Cu_Mg/pass4/disangles16.txt,Cu_Mg,4,16
Cu_Mg_pass4_17,DataECAP/Cu_Mg/pass4/disangles17.txt,Cu_Mg,4,17
Cu_Mg_pass4_18,DataECAP/Cu_Mg/pass4/disangles18.txt,Cu_Mg,4,18
Cu_Mg_pass4_19,DataECAP/Cu_Mg/pass4/disangles19.txt,Cu_Mg,4,19
Cu_Mg_pass4_20,DataECAP/Cu_Mg/pass4/disangles20.txt,Cu_Mg,4,20
Cu_Mg_pass8_1,DataECAP/Cu_Mg/pass8/disangles1.txt,Cu_Mg,8,1
Cu_Mg_pass8_2,DataECAP/Cu_Mg/pass8/disangles2.txt,Cu_Mg,8,2
Cu_Mg_pass8_3,DataECAP/Cu_Mg/pass8/disangles3.txt,Cu_Mg,8,3
Cu_Mg_pass8_4,DataECAP/Cu_Mg/pass8/disangles4.txt,Cu_Mg,8,4
