new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
86,0.05156,0.03376,0.06784,0.06122,0.46923,0.40170,0.73490
87,0.05213,0.03176,0.06780,0.06118,0.46894,0.40208,0.73507
88,0.05269,0.03581,0.06778,0.06116,0.46879,0.40227,0.73518
89,0.05326,0.03585,0.06774,0.06112,0.46849,0.40265,0.73534
90,0.05383,0.03791,0.06770,0.06108,0.46820,0.40302,0.73551
91,0.05439,0.04393,0.06765,0.06104,0.46790,0.40340,0.73567
92,0.05496,0.04386,0.06761,0.06069,0.46824,0.40346,0.73583
93,0.05552,0.04966,0.06757,0.06065,0.46794,0.40383,0.73600
94,0.05609,0.04951,0.06721,0.06062,0.46796,0.40421,0.73637
95,0.05665,0.05128,0.06717,0.06058,0.46767,0.40458,0.73653
96,0.05721,0.05110,0.06713,0.06054,0.46738,0.40496,0.73669
97,0.05777,0.04713,0.06708,0.06050,0.46646,0.40596,0.73706
98,0.05833,0.04697,0.06704,0.06046,0.46554,0.40695,0.73743
99,0.05889,0.04495,0.06700,0.06043,0.46462,0.40795,0.73779
100,0.05945,0.04479,0.06696,0.06008,0.46496,0.40801,0.73795
