new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
8400,0.84151,0.10820,0.00142,0.00107,0.03117,0.96634,0.98722
8500,0.84309,0.10772,0.00141,0.00106,0.03075,0.96678,0.98738
8600,0.84463,0.10446,0.00140,0.00100,0.03030,0.96731,0.98760
8700,0.84614,0.10805,0.00133,0.00099,0.02985,0.96783,0.98782
8800,0.84762,0.11198,0.00132,0.00098,0.02946,0.96824,0.98797
8900,0.84907,0.10757,0.00131,0.00092,0.02908,0.96869,0.98815
9000,0.85050,0.10190,0.00125,0.00086,0.02847,0.96942,0.98846
9100,0.85190,0.09010,0.00123,0.00085,0.02782,0.97009,0.98869
9200,0.85327,0.08911,0.00122,0.00085,0.02746,0.97047,0.98883
9300,0.85462,0.08297,0.00116,0.00075,0.02679,0.97130,0.98918
9400,0.85595,0.08470,0.00115,0.00074,0.02626,0.97184,0.98937
9500,0.85725,0.08545,0.00114,0.00073,0.02575,0.97237,0.98956
9600,0.85852,0.08658,0.00113,0.00073,0.02525,0.97290,0.98974
9700,0.85978,0.08488,0.00112,0.00067,0.02475,0.97345,0.98995
9800,0.86101,0.08704,0.00111,0.00067,0.02453,0.97369,0.99004
9900,0.86222,0.08074,0.00110,0.00066,0.02396,0.97428,0.99025
10000,0.86341,0.07909,0.00109,0.00066,0.02358,0.97467,0.99039
10100,0.86458,0.07721,0.00104,0.00065,0.02316,0.97515,0.99059
10200,0.86573,0.08200,0.00103,0.00064,0.02287,0.97545,0.99070
10300,0.86686,0.08481,0.00102,0.00064,0.02242,0.97592,0.99086
10400,0.86797,0.09241,0.00101,0.00063,0.02223,0.97612,0.99094
10500,0.86906,0.08481,0.00101,0.00063,0.02179,0.97657,0.99110
10600,0.87014,0.08223,0.00100,0.00062,0.02145,0.97693,0.99123
10700,0.87119,0.07456,0.00095,0.00062,0.02107,0.97737,0.99141
10800,0.87223,0.07216,0.00094,0.00061,0.02065,0.97780,0.99156
10900,0.87326,0.07584,0.00093,0.00057,0.02048,0.97802,0.99165
11000,0.87426,0.07115,0.00084,0.00052,0.02032,0.97832,0.99183
11100,0.87526,0.06837,0.00084,0.00052,0.02000,0.97865,0.99194
11200,0.87623,0.06998,0.00083,0.00051,0.01960,0.97905,0.99209
11300,0.87719,0.06987,0.00082,0.00051,0.01929,0.97938,0.99220
11400,0.87814,0.07127,0.00082,0.00051,0.01890,0.97977,0.99234
11500,0.87907,0.06981,0.00081,0.00050,0.01876,0.97993,0.99240
11600,0.87999,0.07448,0.00081,0.00050,0.01846,0.98023,0.99251
11700,0.88089,0.07024,0.00076,0.00050,0.01828,0.98046,0.99261
11800,0.88178,0.07162,0.00076,0.00049,0.01807,0.98068,0.99269
11900,0.88266,0.06902,0.00075,0.00049,0.01771,0.98105,0.99282
12000,0.88352,0.06642,0.00074,0.00048,0.01750,0.98127,0.99290
12100,0.88437,0.06154,0.00074,0.00048,0.01715,0.98163,0.99303
12200,0.88521,0.05821,0.00073,0.00048,0.01695,0.98184,0.99310
12300,0.88604,0.05307,0.00058,0.00047,0.01690,0.98204,0.99327
12400,0.88685,0.04957,0.00058,0.00047,0.01664,0.98231,0.99337
12500,0.88766,0.04620,0.00054,0.00043,0.01648,0.98255,0.99349
12600,0.88845,0.05182,0.00053,0.00043,0.01637,0.98267,0.99354
12700,0.88923,0.05361,0.00053,0.00042,0.01618,0.98286,0.99360
12800,0.89000,0.04966,0.00053,0.00042,0.01593,0.98313,0.99370
12900,0.89076,0.04915,0.00052,0.00042,0.01568,0.98338,0.99379
13000,0.89151,0.05056,0.00052,0.00042,0.01550,0.98357,0.99385
13100,0.89225,0.04818,0.00052,0.00041,0.01532,0.98375,0.99392
13200,0.89298,0.04730,0.00051,0.00041,0.01515,0.98393,0.99398
13300,0.89370,0.04673,0.00051,0.00041,0.01484,0.98424,0.99409
13400,0.89441,0.04417,0.00051,0.00040,0.01461,0.98448,0.99417
13500,0.89511,0.04713,0.00050,0.00040,0.01444,0.98465,0.99423
13600,0.89580,0.03419,0.00050,0.00040,0.01405,0.98505,0.99438
13700,0.89648,0.03304,0.00050,0.00040,0.01376,0.98535,0.99449
13800,0.89715,0.02605,0.00049,0.00039,0.01360,0.98551,0.99454
13900,0.89782,0.02274,0.00049,0.00036,0.01345,0.98570,0.99462
14000,0.89847,0.01485,0.00049,0.00036,0.01304,0.98612,0.99476
14100,0.89912,0.01074,0.00048,0.00035,0.01282,0.98634,0.99484
14200,0.89976,0.01324,0.00048,0.00035,0.01274,0.98643,0.99487
14300,0.90039,0.01159,0.00045,0.00035,0.01260,0.98661,0.99497
14400,0.90101,0.01172,0.00044,0.00035,0.01233,0.98688,0.99506
14500,0.90163,0.00777,0.00044,0.00035,0.01219,0.98703,0.99512
14600,0.90224,0.00121,0.00044,0.00034,0.01199,0.98723,0.99519
14700,0.90284,0.00531,0.00043,0.00034,0.01191,0.98731,0.99522
14800,0.90343,0.00707,0.00043,0.00034,0.01184,0.98739,0.99525
14900,0.90402,0.00659,0.00043,0.00034,0.01165,0.98759,0.99532
15000,0.90460,-0.00465,0.00040,0.00034,0.01127,0.98800,0.99549
15100,0.90517,-0.00741,0.00039,0.00033,0.01102,0.98825,0.99557
15200,0.90573,-0.01245,0.00039,0.00033,0.01089,0.98838,0.99562
15300,0.90629,-0.02209,0.00039,0.00033,0.01053,0.98875,0.99575
15400,0.90684,-0.02272,0.00039,0.00033,0.01041,0.98888,0.99579
15500,0.90739,-0.01948,0.00038,0.00033,0.01035,0.98894,0.99582
15600,0.90793,-0.01582,0.00038,0.00032,0.01029,0.98901,0.99584
15700,0.90846,-0.02122,0.00038,0.00032,0.01011,0.98919,0.99590
15800,0.90899,-0.02716,0.00038,0.00029,0.00996,0.98937,0.99598
15900,0.90951,-0.02632,0.00038,0.00029,0.00991,0.98943,0.99601
16000,0.91002,-0.03225,0.00037,0.00029,0.00979,0.98955,0.99605
16100,0.91053,-0.03134,0.00037,0.00029,0.00974,0.98961,0.99607
16200,0.91103,-0.02581,0.00037,0.00028,0.00968,0.98966,0.99609
16300,0.91153,-0.02021,0.00037,0.00028,0.00963,0.98972,0.99612
16400,0.91202,-0.02649,0.00036,0.00028,0.00941,0.98995,0.99619
16500,0.91251,-0.02387,0.00036,0.00028,0.00930,0.99006,0.99623
16600,0.91299,-0.03031,0.00036,0.00028,0.00925,0.99012,0.99625
16700,0.91347,-0.03444,0.00033,0.00028,0.00922,0.99017,0.99629
16800,0.91394,-0.03901,0.00033,0.00025,0.00912,0.99031,0.99635
16900,0.91440,-0.04093,0.00033,0.00025,0.00907,0.99036,0.99637
17000,0.91486,-0.04316,0.00033,0.00024,0.00896,0.99047,0.99641
17100,0.91532,-0.04782,0.00032,0.00022,0.00892,0.99054,0.99644
17200,0.91577,-0.04517,0.00032,0.00021,0.00887,0.99059,0.99646
17300,0.91622,-0.04515,0.00032,0.00021,0.00882,0.99064,0.99648
17400,0.91666,-0.04009,0.00032,0.00021,0.00877,0.99069,0.99650
17500,0.91709,-0.03754,0.00032,0.00021,0.00873,0.99074,0.99652
17600,0.91753,-0.04494,0.00032,0.00021,0.00855,0.99092,0.99659
17700,0.91795,-0.04245,0.00031,0.00021,0.00851,0.99097,0.99661
17800,0.91838,-0.04003,0.00031,0.00021,0.00846,0.99102,0.99663
17900,0.91880,-0.04022,0.00031,0.00021,0.00837,0.99112,0.99666
18000,0.91921,-0.03779,0.00031,0.00021,0.00827,0.99121,0.99669
18100,0.91962,-0.03542,0.00031,0.00021,0.00823,0.99126,0.99671
18200,0.92003,-0.03569,0.00031,0.00020,0.00819,0.99130,0.99673
18300,0.92043,-0.04126,0.00030,0.00020,0.00804,0.99145,0.99678
18400,0.92083,-0.04445,0.00030,0.00020,0.00795,0.99154,0.99681
18500,0.92122,-0.04759,0.00025,0.00020,0.00796,0.99158,0.99686
18600,0.92161,-0.04527,0.00025,0.00020,0.00792,0.99163,0.99688
18700,0.92200,-0.04319,0.00025,0.00020,0.00788,0.99167,0.99689
18800,0.92238,-0.03861,0.00025,0.00020,0.00785,0.99171,0.99691
18900,0.92276,-0.03655,0.00025,0.00020,0.00781,0.99175,0.99692
19000,0.92314,-0.03728,0.00025,0.00020,0.00774,0.99181,0.99695
19100,0.92351,-0.03790,0.00024,0.00020,0.00766,0.99190,0.99698
19200,0.92388,-0.04410,0.00024,0.00019,0.00748,0.99209,0.99705
19300,0.92424,-0.04776,0.00024,0.00019,0.00739,0.99217,0.99708
19400,0.92460,-0.05412,0.00024,0.00017,0.00736,0.99224,0.99711
