new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
10,0.00628,0.02779,0.07509,0.06583,0.50314,0.35594,0.71348
20,0.01248,0.06556,0.07394,0.06441,0.49984,0.36181,0.71662
30,0.01861,0.03943,0.07280,0.06301,0.49657,0.36761,0.71973
40,0.02466,0.02779,0.07136,0.06260,0.49400,0.37204,0.72236
50,0.03064,0.02911,0.07090,0.06155,0.48824,0.37931,0.72539
60,0.03654,0.02516,0.07012,0.06084,0.48415,0.38489,0.72796
70,0.04237,0.02050,0.06970,0.05983,0.48059,0.38988,0.73023
80,0.04813,0.03365,0.06897,0.05916,0.47675,0.39513,0.73268
90,0.05383,0.02069,0.06822,0.05847,0.47155,0.40176,0.73557
100,0.05945,0.00547,0.06717,0.05779,0.46735,0.40769,0.73843
110,0.06501,0.00361,0.06675,0.05713,0.46259,0.41354,0.74084
120,0.07051,-0.10489,0.06636,0.05617,0.45802,0.41944,0.74337
130,0.07593,0.00088,0.06564,0.05583,0.45368,0.42485,0.74573
140,0.08130,0.00276,0.06494,0.05427,0.45183,0.42896,0.74805
150,0.08661,-0.15083,0.06424,0.05333,0.45000,0.43242,0.74995
160,0.09185,0.00253,0.06327,0.05303,0.44682,0.43688,0.75217
170,0.09703,-0.16375,0.06289,0.05271,0.44295,0.44145,0.75403
180,0.10216,0.00217,0.06254,0.05152,0.44044,0.44550,0.75601
190,0.10722,-0.17085,0.06217,0.05121,0.43606,0.45056,0.75801
200,0.11223,0.00082,0.06182,0.05093,0.43185,0.45540,0.75995
210,0.11719,0.00425,0.06146,0.05034,0.42757,0.46064,0.76210
220,0.12209,0.00590,0.06112,0.04977,0.42288,0.46624,0.76437
230,0.12693,0.02003,0.06076,0.04948,0.42043,0.46933,0.76571
240,0.13172,0.02200,0.06041,0.04862,0.41801,0.47296,0.76742
250,0.13646,0.02188,0.06007,0.04834,0.41505,0.47654,0.76891
260,0.14115,0.02836,0.05973,0.04778,0.41212,0.48038,0.77058
270,0.14579,0.02869,0.05941,0.04724,0.40934,0.48402,0.77219
280,0.15038,0.03102,0.05907,0.04698,0.40478,0.48917,0.77419
290,0.15491,0.02450,0.05874,0.04671,0.39916,0.49538,0.77653
300,0.15940,0.02624,0.05814,0.04645,0.39666,0.49875,0.77812
310,0.16385,0.01617,0.05562,0.04455,0.39679,0.50304,0.78183
320,0.16824,0.01686,0.05504,0.04403,0.39378,0.50715,0.78374
330,0.17259,0.01725,0.05473,0.04379,0.39053,0.51095,0.78527
340,0.17690,0.01598,0.05363,0.04274,0.38960,0.51402,0.78745
350,0.18116,0.01530,0.05280,0.04224,0.38803,0.51692,0.78912
360,0.18538,0.01794,0.05252,0.04148,0.38594,0.52006,0.79059
370,0.18955,0.01835,0.05198,0.04073,0.38317,0.52412,0.79254
380,0.19368,0.01814,0.05117,0.04025,0.37953,0.52905,0.79485
390,0.19777,0.01390,0.05090,0.03977,0.37540,0.53393,0.79680
400,0.20182,0.01662,0.05063,0.03956,0.37184,0.53797,0.79837
410,0.20582,0.01693,0.05010,0.03882,0.37041,0.54066,0.79993
420,0.20979,0.01912,0.04984,0.03810,0.36848,0.54358,0.80130
430,0.21372,0.02003,0.04933,0.03790,0.36578,0.54699,0.80283
440,0.21761,0.02423,0.04881,0.03745,0.36467,0.54907,0.80400
450,0.22146,0.02697,0.04857,0.03701,0.36237,0.55204,0.80530
460,0.22527,0.02913,0.04833,0.03656,0.36052,0.55459,0.80645
470,0.22904,0.03154,0.04782,0.03612,0.35843,0.55762,0.80792
480,0.23278,0.03140,0.04758,0.03594,0.35510,0.56138,0.80938
490,0.23649,0.03249,0.04734,0.03551,0.35230,0.56485,0.81082
500,0.24015,0.03686,0.04712,0.03509,0.34987,0.56792,0.81222
510,0.24379,0.03607,0.04665,0.03442,0.34797,0.57097,0.81377
520,0.24738,0.03576,0.04617,0.03301,0.34698,0.57384,0.81550
530,0.25095,0.02799,0.04544,0.03087,0.34626,0.57743,0.81786
540,0.25448,0.02926,0.04473,0.03023,0.34456,0.58049,0.81955
550,0.25797,0.02700,0.04402,0.02984,0.34287,0.58327,0.82106
560,0.26144,0.02495,0.04382,0.02945,0.34080,0.58593,0.82221
570,0.26487,0.02381,0.04360,0.02907,0.33963,0.58769,0.82306
580,0.26827,0.02621,0.04315,0.02893,0.33775,0.59016,0.82422
590,0.27164,0.02750,0.04272,0.02880,0.33597,0.59251,0.82534
600,0.27498,0.02564,0.04251,0.02842,0.33485,0.59422,0.82616
610,0.27828,0.02591,0.04208,0.02782,0.33167,0.59843,0.82804
620,0.28156,0.02160,0.04141,0.02745,0.33010,0.60104,0.82947
