new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
860,0.35217,0.01751,0.03108,0.02385,0.28209,0.66298,0.85850
870,0.35481,0.01670,0.03095,0.02374,0.28047,0.66483,0.85924
880,0.35743,0.01403,0.03061,0.02364,0.27950,0.66624,0.85996
890,0.36003,0.01585,0.03027,0.02354,0.27728,0.66891,0.86110
900,0.36261,0.01685,0.03015,0.02324,0.27617,0.67044,0.86179
910,0.36517,0.01555,0.02961,0.02314,0.27502,0.67223,0.86277
920,0.36771,0.01539,0.02907,0.02284,0.27346,0.67463,0.86402
930,0.37022,0.01476,0.02896,0.02234,0.27198,0.67673,0.86496
940,0.37272,0.01740,0.02884,0.02225,0.27085,0.67806,0.86551
950,0.37520,0.01708,0.02872,0.02215,0.26892,0.68021,0.86632
960,0.37766,0.01585,0.02860,0.02206,0.26660,0.68274,0.86727
970,0.38009,0.01800,0.02848,0.02197,0.26551,0.68403,0.86780
980,0.38251,0.01853,0.02837,0.02189,0.26328,0.68646,0.86871
990,0.38491,0.01997,0.02806,0.02180,0.26201,0.68813,0.86950
1000,0.38730,0.01996,0.02795,0.02171,0.26055,0.68979,0.87015
1010,0.38966,0.01935,0.02763,0.02163,0.25851,0.69223,0.87119
1020,0.39201,0.01787,0.02752,0.02154,0.25708,0.69386,0.87183
1030,0.39433,0.01719,0.02741,0.02145,0.25526,0.69587,0.87260
1040,0.39664,0.01853,0.02731,0.02137,0.25430,0.69701,0.87308
1050,0.39894,0.01791,0.02701,0.02110,0.25394,0.69795,0.87369
1060,0.40121,0.01765,0.02690,0.02082,0.25255,0.69973,0.87443
1070,0.40347,0.01990,0.02661,0.02054,0.25181,0.70104,0.87516
1080,0.40571,0.02022,0.02651,0.02008,0.25088,0.70253,0.87588
1090,0.40793,0.01957,0.02621,0.01981,0.25049,0.70350,0.87649
1100,0.41014,0.02072,0.02611,0.01973,0.24913,0.70503,0.87709
1110,0.41233,0.02156,0.02601,0.01965,0.24778,0.70655,0.87768
1120,0.41451,0.02250,0.02592,0.01958,0.24650,0.70801,0.87826
1130,0.41667,0.02376,0.02563,0.01951,0.24536,0.70950,0.87897
1140,0.41881,0.02563,0.02553,0.01944,0.24447,0.71056,0.87941
1150,0.42094,0.02628,0.02544,0.01936,0.24317,0.71203,0.87998
1160,0.42305,0.02690,0.02515,0.01929,0.24206,0.71350,0.88068
1170,0.42515,0.02543,0.02468,0.01903,0.24115,0.71515,0.88162
1180,0.42723,0.02623,0.02440,0.01896,0.24005,0.71659,0.88231
1190,0.42929,0.02811,0.02431,0.01889,0.23845,0.71835,0.88298
1200,0.43134,0.02807,0.02422,0.01863,0.23794,0.71921,0.88341
1210,0.43338,0.02824,0.02413,0.01856,0.23705,0.72025,0.88383
1220,0.43540,0.02862,0.02404,0.01849,0.23618,0.72129,0.88426
1230,0.43741,0.02897,0.02377,0.01843,0.23549,0.72231,0.88480
1240,0.43940,0.02904,0.02368,0.01836,0.23426,0.72370,0.88534
1250,0.44138,0.02981,0.02323,0.01829,0.23303,0.72544,0.88624
1260,0.44335,0.02981,0.02315,0.01822,0.23219,0.72644,0.88665
1270,0.44530,0.03124,0.02288,0.01816,0.23116,0.72780,0.88729
1280,0.44724,0.02973,0.02262,0.01809,0.23014,0.72915,0.88794
1290,0.44916,0.03085,0.02253,0.01803,0.22931,0.73012,0.88833
1300,0.45108,0.03049,0.02245,0.01796,0.22813,0.73145,0.88885
1310,0.45297,0.03118,0.02220,0.01790,0.22753,0.73237,0.88935
1320,0.45486,0.03196,0.02212,0.01784,0.22636,0.73368,0.88986
1330,0.45673,0.03223,0.02204,0.01777,0.22556,0.73462,0.89024
1340,0.45859,0.03082,0.02196,0.01753,0.22441,0.73610,0.89086
1350,0.46044,0.03221,0.02188,0.01747,0.22361,0.73703,0.89124
1360,0.46227,0.02913,0.02163,0.01724,0.22265,0.73848,0.89197
1370,0.46409,0.02721,0.02138,0.01717,0.22135,0.74010,0.89269
1380,0.46590,0.02713,0.02131,0.01711,0.21987,0.74170,0.89329
1390,0.46770,0.02588,0.02123,0.01688,0.21841,0.74347,0.89400
1400,0.46948,0.02575,0.02116,0.01682,0.21696,0.74506,0.89459
1410,0.47126,0.02446,0.02109,0.01642,0.21587,0.74663,0.89529
1420,0.47302,0.02430,0.02101,0.01636,0.21478,0.74785,0.89576
1430,0.47477,0.02456,0.02094,0.01562,0.21438,0.74906,0.89646
1440,0.47651,0.02401,0.02087,0.01557,0.21300,0.75056,0.89702
1450,0.47823,0.02344,0.02063,0.01552,0.21214,0.75171,0.89758
1460,0.47995,0.02184,0.02056,0.01547,0.21074,0.75323,0.89815
1470,0.48165,0.02135,0.02049,0.01524,0.20969,0.75457,0.89872
