new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
86,0.05156,0.01765,0.06713,0.06020,0.47494,0.39773,0.73430
87,0.05213,0.01793,0.06709,0.06016,0.47402,0.39874,0.73467
88,0.05269,0.01200,0.06673,0.05980,0.47403,0.39943,0.73525
89,0.05326,0.00822,0.06669,0.05945,0.47373,0.40013,0.73562
90,0.05383,0.01058,0.06665,0.05942,0.47344,0.40050,0.73578
91,0.05439,0.01087,0.06660,0.05938,0.47314,0.40088,0.73594
92,0.05496,0.00719,0.06656,0.05934,0.47284,0.40126,0.73611
93,0.05552,0.01337,0.06652,0.05930,0.47254,0.40163,0.73627
94,0.05609,0.01942,0.06648,0.05927,0.47225,0.40201,0.73643
95,0.05665,0.01765,0.06644,0.05923,0.47195,0.40238,0.73659
96,0.05721,0.01781,0.06640,0.05919,0.47103,0.40338,0.73696
97,0.05777,0.01983,0.06635,0.05915,0.47074,0.40376,0.73712
98,0.05833,0.01808,0.06631,0.05881,0.47107,0.40382,0.73728
99,0.05889,0.01819,0.06627,0.05877,0.47015,0.40481,0.73765
100,0.05945,0.02012,0.06623,0.05873,0.46985,0.40519,0.73781
101,0.06001,0.02201,0.06619,0.05869,0.46956,0.40556,0.73797
102,0.06057,0.02205,0.06615,0.05866,0.46927,0.40593,0.73813
103,0.06113,0.01852,0.06611,0.05831,0.46897,0.40661,0.73850
104,0.06168,0.02387,0.06606,0.05827,0.46868,0.40698,0.73866
105,0.06224,0.02212,0.06602,0.05824,0.46777,0.40797,0.73902
106,0.06280,0.02212,0.06598,0.05789,0.46810,0.40803,0.73918
107,0.06335,0.02535,0.06596,0.05787,0.46795,0.40821,0.73929
108,0.06391,0.02701,0.06592,0.05784,0.46766,0.40858,0.73945
109,0.06446,0.02524,0.06588,0.05780,0.46737,0.40895,0.73961
110,0.06501,0.02518,0.06584,0.05776,0.46708,0.40932,0.73977
111,0.06556,0.02677,0.06580,0.05773,0.46617,0.41030,0.74013
112,0.06612,0.02667,0.06576,0.05769,0.46588,0.41067,0.74029
113,0.06667,0.02820,0.06541,0.05766,0.46590,0.41104,0.74065
114,0.06722,0.02646,0.06537,0.05731,0.46561,0.41171,0.74101
115,0.06777,0.02795,0.06533,0.05728,0.46533,0.41207,0.74117
116,0.06832,0.02462,0.06528,0.05724,0.46504,0.41244,0.74133
117,0.06886,0.02608,0.06524,0.05720,0.46475,0.41280,0.74148
118,0.06941,0.02751,0.06520,0.05717,0.46384,0.41378,0.74184
119,0.06996,0.02424,0.06516,0.05713,0.46294,0.41476,0.74220
120,0.07051,0.02410,0.06512,0.05710,0.46204,0.41574,0.74256
121,0.07105,0.02089,0.06508,0.05706,0.46175,0.41610,0.74272
122,0.07160,0.02381,0.06504,0.05703,0.46147,0.41646,0.74287
123,0.07214,0.02365,0.06500,0.05669,0.46118,0.41713,0.74323
124,0.07268,0.02498,0.06496,0.05665,0.46090,0.41749,0.74339
125,0.07323,0.02777,0.06492,0.05631,0.46062,0.41815,0.74374
126,0.07377,0.02462,0.06488,0.05627,0.46033,0.41851,0.74390
127,0.07431,0.02442,0.06484,0.05624,0.46005,0.41887,0.74405
128,0.07485,0.02423,0.06480,0.05620,0.45915,0.41984,0.74441
129,0.07539,0.02258,0.06476,0.05617,0.45887,0.42020,0.74457
130,0.07593,0.01952,0.06472,0.05613,0.45859,0.42055,0.74472
131,0.07647,0.02218,0.06468,0.05610,0.45769,0.42152,0.74507
132,0.07701,0.02198,0.06464,0.05607,0.45741,0.42188,0.74523
133,0.07755,0.02457,0.06461,0.05603,0.45713,0.42223,0.74538
134,0.07809,0.02434,0.06426,0.05539,0.45777,0.42258,0.74594
135,0.07863,0.02825,0.06422,0.05535,0.45749,0.42294,0.74609
136,0.07916,0.02385,0.06418,0.05532,0.45660,0.42390,0.74644
137,0.07970,0.02224,0.06414,0.05528,0.45632,0.42425,0.74659
138,0.08023,0.02199,0.06410,0.05525,0.45543,0.42521,0.74695
139,0.08077,0.02155,0.06408,0.05523,0.45529,0.42539,0.74705
140,0.08130,0.02532,0.06404,0.05520,0.45502,0.42574,0.74720
141,0.08183,0.02504,0.06400,0.05486,0.45535,0.42578,0.74735
142,0.08237,0.02211,0.06397,0.05483,0.45507,0.42613,0.74750
143,0.08290,0.02315,0.06393,0.05479,0.45479,0.42648,0.74765
144,0.08343,0.01895,0.06389,0.05476,0.45391,0.42744,0.74800
145,0.08396,0.01999,0.06385,0.05473,0.45363,0.42779,0.74816
146,0.08449,0.02229,0.06381,0.05469,0.45336,0.42814,0.74831
147,0.08502,0.02328,0.06377,0.05466,0.45308,0.42848,0.74846
148,0.08555,0.02806,0.06373,0.05463,0.45281,0.42883,0.74861
149,0.08608,0.02773,0.06339,0.05460,0.45284,0.42918,0.74896
150,0.08661,0.03115,0.06335,0.05456,0.45256,0.42952,0.74911
151,0.08713,0.03578,0.06331,0.05453,0.45229,0.42987,0.74925
152,0.08766,0.03414,0.06328,0.05450,0.45201,0.43021,0.74940
153,0.08818,0.03128,0.06324,0.05446,0.45113,0.43116,0.74975
154,0.08871,0.03458,0.06320,0.05443,0.45086,0.43151,0.74990
155,0.08923,0.03643,0.06318,0.05441,0.45073,0.43168,0.75000
156,0.08976,0.03480,0.06314,0.05408,0.45045,0.43233,0.75035
157,0.09028,0.03318,0.06310,0.05405,0.44958,0.43327,0.75069
158,0.09080,0.03517,0.06307,0.05401,0.44931,0.43361,0.75084
159,0.09133,0.03594,0.06303,0.05398,0.44903,0.43396,0.75099
160,0.09185,0.03906,0.06299,0.05395,0.44876,0.43430,0.75114
161,0.09237,0.03979,0.06295,0.05392,0.44789,0.43524,0.75148
162,0.09289,0.04050,0.06261,0.05388,0.44792,0.43558,0.75183
163,0.09341,0.04236,0.06258,0.05385,0.44705,0.43652,0.75217
164,0.09393,0.03956,0.06254,0.05382,0.44618,0.43746,0.75251
165,0.09445,0.04255,0.06250,0.05379,0.44591,0.43780,0.75266
166,0.09497,0.04435,0.06246,0.05375,0.44565,0.43814,0.75281
167,0.09548,0.04499,0.06242,0.05342,0.44598,0.43818,0.75295
168,0.09600,0.04222,0.06239,0.05339,0.44571,0.43851,0.75310
169,0.09652,0.04510,0.06235,0.05336,0.44544,0.43885,0.75324
170,0.09703,0.04459,0.06231,0.05333,0.44518,0.43919,0.75339
171,0.09755,0.04742,0.06228,0.05329,0.44491,0.43952,0.75353
172,0.09806,0.04800,0.06224,0.05326,0.44405,0.44045,0.75388
173,0.09858,0.05077,0.06220,0.05323,0.44378,0.44079,0.75402
174,0.09909,0.05132,0.06216,0.05290,0.44411,0.44082,0.75417
175,0.09960,0.04966,0.06213,0.05257,0.44385,0.44146,0.75451
176,0.10011,0.04911,0.06209,0.05254,0.44358,0.44179,0.75465
177,0.10063,0.04855,0.06205,0.05221,0.44332,0.44242,0.75499
178,0.10114,0.05015,0.06202,0.05218,0.44305,0.44275,0.75513
179,0.10165,0.04959,0.06198,0.05215,0.44219,0.44368,0.75547
180,0.10216,0.04690,0.06194,0.05182,0.44193,0.44431,0.75581
181,0.10267,0.04740,0.06190,0.05179,0.44167,0.44464,0.75595
182,0.10317,0.04560,0.06189,0.05177,0.44154,0.44481,0.75605
183,0.10368,0.04820,0.06185,0.05174,0.44127,0.44514,0.75619
184,0.10419,0.04659,0.06181,0.05171,0.44101,0.44547,0.75634
185,0.10470,0.04707,0.06178,0.05168,0.44075,0.44580,0.75648
186,0.10520,0.04236,0.06174,0.05165,0.44049,0.44613,0.75662
187,0.10571,0.04285,0.06170,0.05132,0.44082,0.44616,0.75676
188,0.10621,0.04332,0.06167,0.05129,0.43996,0.44708,0.75710
189,0.10672,0.04378,0.06163,0.05126,0.43911,0.44800,0.75743
190,0.10722,0.04627,0.06159,0.05123,0.43885,0.44833,0.75758
191,0.10773,0.04771,0.06156,0.05120,0.43859,0.44865,0.75772
192,0.10823,0.05015,0.06152,0.05117,0.43833,0.44898,0.75786
193,0.10873,0.04755,0.06148,0.05114,0.43807,0.44931,0.75800
194,0.10923,0.04995,0.06145,0.05111,0.43781,0.44963,0.75814
195,0.10974,0.05232,0.06141,0.05108,0.43756,0.44996,0.75828
196,0.11024,0.05171,0.06108,0.05105,0.43759,0.45028,0.75861
197,0.11074,0.05208,0.06104,0.05102,0.43733,0.45060,0.75875
198,0.11124,0.05049,0.06101,0.05099,0.43708,0.45093,0.75889
